ORF_Info,Phi_Post_Arith_Mean,Phi_Post_Median,Phi_Post_Geom_Mean,Phi_Post_Harm_Mean,Phi_Post_SD,logPhi_Post_SD
WBGene00000097,0.874552621,0.874549995,0.859919574,0.844621392,0.157384145,0.1865881
WBGene00000098,1.093643135,1.095667789,1.087461025,1.081163607,0.11541596,0.10717885
WBGene00000099,0.996729525,0.999298565,0.988760759,0.980652119,0.125189217,0.127587072
WBGene00000101,0.45943844,0.459210752,0.455562172,0.451630309,0.05938787,0.130991479
WBGene00000111,1.216482268,1.216614595,1.211584176,1.206602949,0.108455383,0.090336459
WBGene00000115,1.378786993,1.382604275,1.374803661,1.370769007,0.104269359,0.076404809
WBGene00000120,1.482776905,1.475956264,1.474080507,1.465255661,0.159793097,0.109069099
WBGene00000121,1.349544425,1.348146181,1.341157603,1.332696022,0.150102621,0.112137566
WBGene00000122,1.524228601,1.517308722,1.516253065,1.508204918,0.155495095,0.102852117
WBGene00000136,0.800221924,0.803261788,0.794612126,0.788893699,0.094034908,0.119461865
WBGene00000138,0.703075772,0.703360412,0.698141184,0.693068627,0.082399787,0.119759734
WBGene00000140,1.455429949,1.454779472,1.455187073,1.454944361,0.026612573,0.018276423
WBGene00000142,0.803305488,0.803708091,0.795592293,0.78753281,0.109364844,0.140811192
WBGene00000143,0.553649916,0.555195669,0.547750524,0.541648521,0.079654572,0.148104038
WBGene00000145,0.773561986,0.770638918,0.748071768,0.71992553,0.192092275,0.267148033
WBGene00000147,0.495291935,0.492193348,0.484141981,0.472636714,0.104460926,0.216282484
WBGene00000150,0.651752176,0.646994759,0.644046648,0.636170834,0.099568662,0.155582096
WBGene00000151,0.602387035,0.603771529,0.592788474,0.582643033,0.105346999,0.182454763
WBGene00000155,1.149376256,1.1441647,1.145564074,1.141699079,0.093185403,0.081889197
WBGene00000157,1.672058091,1.667622393,1.660273038,1.648235572,0.196863028,0.119841052
WBGene00000159,1.222946597,1.210751601,1.209878257,1.196486652,0.17746672,0.14789979
WBGene00000161,1.216833811,1.218195979,1.214554998,1.212267492,0.074399791,0.061346988
WBGene00000165,1.186508927,1.18390272,1.17470782,1.16278236,0.167083235,0.142168928
WBGene00000166,0.595245279,0.595928661,0.589430719,0.583453657,0.082349695,0.141486254
WBGene00000168,1.301225789,1.304237766,1.297259045,1.293247235,0.101142198,0.078464754
WBGene00000172,0.618278304,0.615671124,0.605749614,0.592521777,0.122285776,0.206078854
WBGene00000174,0.515147818,0.488282188,0.477277607,0.438907577,0.200204904,0.399930998
WBGene00000175,2.212969231,2.217624476,2.207221024,2.201416255,0.158902863,0.072383537
WBGene00000178,1.237538911,1.238010313,1.230890951,1.224059372,0.126849154,0.104681943
WBGene00000179,0.96957541,0.971141697,0.961308365,0.952785264,0.125000536,0.132218935
WBGene00000180,0.517923123,0.516020095,0.510325416,0.502367411,0.087339756,0.174527428
WBGene00000182,1.748851631,1.751175941,1.738523382,1.728007112,0.188735876,0.109548224
WBGene00000183,1.966003955,1.960313465,1.956036473,1.945960333,0.197176566,0.101283305
WBGene00000184,0.768434507,0.767864833,0.753489283,0.737690613,0.148487975,0.201945269
WBGene00000186,0.437364548,0.437379752,0.432225425,0.426923442,0.066303921,0.155463917
WBGene00000187,0.670036439,0.668595532,0.652748071,0.634190404,0.148291272,0.234285624
WBGene00000189,0.469891169,0.462785981,0.452040627,0.433236377,0.127267422,0.284880574
WBGene00000190,1.133233446,1.134919107,1.120552948,1.10744648,0.16744526,0.151736277
WBGene00000192,1.489576542,1.4950904,1.479263102,1.468713321,0.173826942,0.118799528
WBGene00000195,1.039180698,1.035967516,1.033829854,1.028450562,0.105313871,0.101937186
WBGene00000196,0.593946295,0.592598368,0.589200603,0.584376146,0.074559656,0.127535221
WBGene00000197,1.720570824,1.721695278,1.718449379,1.716318173,0.08532896,0.049769677
WBGene00000198,1.864454161,1.864966622,1.858713189,1.852964214,0.146394,0.078663371
WBGene00000199,1.248272647,1.248926966,1.243342231,1.238372121,0.1106969,0.08927474
WBGene00000200,1.01367964,1.014892511,1.007327201,1.000868084,0.112869364,0.112814806
WBGene00000201,1.301220727,1.298035307,1.295632709,1.290028479,0.120579394,0.09299339
WBGene00000202,0.763474206,0.760743528,0.750334906,0.73654459,0.139332037,0.189402486
WBGene00000203,1.405246275,1.404067385,1.39486411,1.384368269,0.170275741,0.122404434
WBGene00000204,1.447175297,1.446963029,1.436073969,1.424713176,0.177639739,0.125117019
WBGene00000206,1.648720744,1.64960686,1.642411052,1.636034358,0.143700721,0.087929996
WBGene00000207,2.815282607,2.80968853,2.809727834,2.80416153,0.176859077,0.062943655
WBGene00000208,1.095328239,1.095037753,1.090223184,1.085028048,0.10493497,0.097256587
WBGene00000209,2.129801895,2.124565419,2.117010115,2.10417475,0.233477379,0.110081087
WBGene00000210,2.355665789,2.346349983,2.343000799,2.330220285,0.243755396,0.104251602
WBGene00000211,0.427423589,0.42719275,0.419200497,0.410512292,0.082105221,0.200856477
WBGene00000214,4.050841332,4.044183024,4.044606166,4.038372042,0.224988146,0.055551392
WBGene00000215,1.946051558,1.938579842,1.94183502,1.937595244,0.12787277,0.066025024
WBGene00000216,2.930520556,2.925671943,2.925904606,2.921283493,0.164504204,0.056217076
WBGene00000217,1.804543784,1.79882409,1.800174218,1.79578685,0.125446227,0.0697822
WBGene00000218,2.472123966,2.465236992,2.467086862,2.462057677,0.158090684,0.063909048
WBGene00000219,2.884937928,2.884129554,2.88030683,2.875668816,0.163503454,0.056755878
WBGene00000220,0.31059403,0.303497544,0.298864604,0.286479324,0.084028322,0.284010855
WBGene00000221,1.471351645,1.463309861,1.461412427,1.451330541,0.170184667,0.117099732
WBGene00000229,2.63835868,2.638745949,2.63505331,2.631738681,0.132010094,0.050146346
WBGene00000235,1.350318131,1.338043374,1.32750275,1.303375582,0.243699602,0.187925339
WBGene00000236,0.976479039,0.970298754,0.96397015,0.950891782,0.153744434,0.162907246
WBGene00000237,0.673687408,0.672151562,0.670216474,0.666710053,0.068158505,0.102082827
WBGene00000238,0.548666895,0.550480754,0.543249282,0.537654566,0.076204236,0.142399475
WBGene00000245,1.207124233,1.205733632,1.199086525,1.190940339,0.138715876,0.116223906
WBGene00000249,0.793977872,0.793355072,0.775729888,0.756312139,0.166164144,0.220349178
WBGene00000250,0.775028357,0.777912474,0.766138004,0.756832452,0.115311462,0.154111974
WBGene00000252,0.952779663,0.950892132,0.94256021,0.932069248,0.138304337,0.148265111
WBGene00000253,0.666993834,0.670077707,0.664512927,0.661987725,0.057113697,0.086834098
WBGene00000256,1.833210553,1.840623836,1.825736201,1.818174489,0.164819898,0.09079586
WBGene00000263,2.470122254,2.465363657,2.453324951,2.436320945,0.286755099,0.117449239
WBGene00000264,0.425887574,0.417827322,0.405522166,0.383687784,0.12919349,0.322506996
WBGene00000268,0.997308985,0.997021741,0.991727012,0.986053275,0.10491605,0.106575635
WBGene00000275,0.945303638,0.943522054,0.942661703,0.939999156,0.070454482,0.075056757
WBGene00000276,1.037543741,1.034740204,1.032101579,1.026603926,0.105956672,0.102998545
WBGene00000277,1.627972599,1.624082069,1.623446389,1.618903699,0.12134567,0.074775234
WBGene00000280,0.2445267,0.239250136,0.232926596,0.220991676,0.074974511,0.318180201
WBGene00000281,1.797914092,1.796820792,1.790340426,1.782649788,0.164047917,0.092377859
WBGene00000283,0.980734019,0.986591747,0.972430768,0.963942183,0.126519214,0.131474416
WBGene00000285,0.603937602,0.593432361,0.580587002,0.555325596,0.163692976,0.289114584
WBGene00000286,0.795733935,0.800798292,0.77667251,0.755767331,0.16848457,0.226514939
WBGene00000287,1.007760074,1.003742749,0.993793034,0.979404521,0.165911379,0.168998063
WBGene00000292,1.143557618,1.144673991,1.134254579,1.124696271,0.144392557,0.12899059
WBGene00000293,1.558635692,1.559910788,1.551316796,1.543893639,0.150215322,0.097532552
WBGene00000294,1.80813797,1.811561884,1.804575507,1.80101246,0.113613306,0.062868658
WBGene00000298,1.281920418,1.278366447,1.272475714,1.262920435,0.155097764,0.122250531
WBGene00000367,0.490154308,0.48914866,0.487596045,0.484997958,0.04977595,0.102886461
WBGene00000369,0.982760114,0.981185174,0.973779578,0.964468775,0.13104731,0.137071539
WBGene00000370,1.701479706,1.699457791,1.694993391,1.688405845,0.14774427,0.087855871
WBGene00000373,0.525958056,0.525167267,0.518000831,0.509801605,0.090474395,0.17669726
WBGene00000375,0.391354711,0.388725223,0.381824781,0.371635865,0.084279912,0.227188407
WBGene00000377,1.492406614,1.489097717,1.489084715,1.4857517,0.099530495,0.066882962
WBGene00000378,1.535958201,1.536764595,1.532070336,1.528172108,0.109246783,0.071325982
WBGene00000379,1.397279837,1.398149308,1.393718002,1.390133926,0.099563766,0.071641313
WBGene00000381,1.806086677,1.803253892,1.802738017,1.799367353,0.109730666,0.061081525
WBGene00000382,0.67935716,0.677303104,0.672989572,0.666435754,0.091938594,0.138626378
WBGene00000386,0.7173091,0.713615753,0.711857345,0.706357813,0.088192906,0.124109477
WBGene00000388,0.812511193,0.811827148,0.80362468,0.794336163,0.118161801,0.150384175
WBGene00000390,1.091448491,1.086578628,1.079213719,1.066678821,0.161893672,0.151582921
WBGene00000391,1.11109455,1.110478757,1.097102336,1.082752289,0.174799822,0.160791611
WBGene00000392,0.976116858,0.97867693,0.960209013,0.94340206,0.172661285,0.184530122
WBGene00000393,0.901903394,0.906203376,0.896082667,0.890117528,0.101490445,0.114724107
WBGene00000405,1.365534596,1.364265697,1.359346304,1.353108449,0.129707566,0.095656039
WBGene00000406,0.919970788,0.919735964,0.911593676,0.903062265,0.12328339,0.136272532
WBGene00000407,0.635972459,0.629985277,0.625102855,0.61358458,0.115197269,0.189154888
WBGene00000408,0.76551762,0.767539232,0.756701349,0.747721734,0.115457963,0.153442108
WBGene00000409,0.36557752,0.365304059,0.355490582,0.344443872,0.083061093,0.243604157
WBGene00000411,1.287904739,1.286082568,1.28255066,1.277205553,0.117720057,0.091380533
WBGene00000412,1.090721299,1.089293872,1.083687662,1.076525551,0.123078884,0.114496038
WBGene00000414,0.849475221,0.845577413,0.840199188,0.8307239,0.124619427,0.149454427
WBGene00000415,0.451905475,0.438166198,0.41945814,0.385473311,0.170352841,0.398332988
WBGene00000417,0.993632491,0.990089544,0.988229484,0.98273944,0.103051595,0.105027943
WBGene00000418,0.608483831,0.608136524,0.60195075,0.595192618,0.088124967,0.148593314
WBGene00000419,0.400311496,0.399090143,0.397108868,0.393800904,0.049981459,0.128080677
WBGene00000420,0.812322811,0.811106388,0.806483609,0.800564762,0.096985615,0.12079903
WBGene00000421,0.497004101,0.501283223,0.494324491,0.491565693,0.050953687,0.104936062
WBGene00000422,0.432887018,0.428770941,0.424377241,0.415626091,0.085207319,0.201722087
WBGene00000428,0.594635807,0.596873441,0.576480541,0.557058167,0.143068095,0.255395873
WBGene00000429,0.422649515,0.414727631,0.405426633,0.386980502,0.117745562,0.296710199
WBGene00000430,0.650862238,0.640678166,0.628536304,0.604970812,0.167437071,0.270307407
WBGene00000431,0.536901092,0.535465034,0.525962042,0.514542296,0.106621274,0.206259953
WBGene00000432,0.465241164,0.449168045,0.439170905,0.411315152,0.153805425,0.349902731
WBGene00000435,0.554574329,0.552234215,0.542646144,0.530235318,0.113623736,0.211770052
WBGene00000437,0.698444257,0.694757922,0.680621348,0.66174787,0.15480948,0.232147514
WBGene00000439,0.663314263,0.657613206,0.644966654,0.625407435,0.15243953,0.242408732
WBGene00000440,0.477715569,0.471094253,0.461861806,0.445061997,0.121283625,0.265613827
WBGene00000443,0.455193528,0.449896926,0.443252707,0.430814899,0.10308982,0.234482742
WBGene00000444,1.478502704,1.477199865,1.474723353,1.470921686,0.105531623,0.071732872
WBGene00000447,0.492939714,0.491117328,0.478296259,0.461713065,0.115427982,0.254501479
WBGene00000449,0.655254886,0.651873243,0.635666938,0.614545439,0.156286215,0.252827824
WBGene00000451,0.82661528,0.826101151,0.812933394,0.79840811,0.147153637,0.186193436
WBGene00000452,0.658952002,0.659178339,0.645337441,0.631133513,0.131752517,0.207729736
WBGene00000453,0.919913097,0.921210789,0.913489563,0.90686192,0.107436465,0.119543527
WBGene00000455,0.612416531,0.605541981,0.59809557,0.582814573,0.129855026,0.222228662
WBGene00000460,1.292228915,1.292744054,1.286659912,1.281060323,0.119791255,0.093219485
WBGene00000469,0.751633944,0.749732011,0.737345136,0.722465957,0.144757988,0.198881154
WBGene00000472,2.062640883,2.059443956,2.054113216,2.045536261,0.187292468,0.091298867
WBGene00000473,2.105078186,2.096704954,2.099085858,2.093054444,0.158671977,0.075707752
WBGene00000475,2.375360988,2.374780549,2.370527441,2.365652141,0.151076083,0.064026129
WBGene00000476,0.214066752,0.209850886,0.204907183,0.195568464,0.062303422,0.300977544
WBGene00000478,1.15006485,1.150741766,1.1459477,1.141817767,0.09727597,0.084879574
WBGene00000479,2.016578683,2.016465596,2.012682655,2.00876037,0.125044878,0.062357709
WBGene00000481,0.92649853,0.923937989,0.92257167,0.918596376,0.084956979,0.092585443
WBGene00000482,1.115230907,1.114648037,1.113880659,1.112526714,0.054856671,0.049295147
WBGene00000484,0.577798901,0.579144045,0.57261435,0.567282276,0.076618954,0.135555606
WBGene00000493,0.26748815,0.264919761,0.261142358,0.254583953,0.057542409,0.222483855
WBGene00000496,0.852150344,0.851579776,0.849996767,0.847831236,0.060481324,0.071319591
WBGene00000497,0.690940408,0.690379691,0.688877066,0.686794183,0.053203427,0.077621387
WBGene00000499,0.984105763,0.981271948,0.978525929,0.97293982,0.104910776,0.10688034
WBGene00000500,0.758873533,0.753925387,0.748549677,0.737839579,0.12382575,0.167567605
WBGene00000501,0.748471186,0.746331106,0.74318371,0.737792055,0.088268955,0.119936559
WBGene00000502,0.702155284,0.702932577,0.691318498,0.679889328,0.121205784,0.179370021
WBGene00000506,0.521597229,0.51820271,0.508646826,0.495095849,0.114024604,0.22847887
WBGene00000507,0.37363174,0.366647889,0.363009521,0.351797454,0.087755552,0.245093126
WBGene00000509,0.594327031,0.592925233,0.58663898,0.578663833,0.094235008,0.163456231
WBGene00000511,0.422542351,0.419081187,0.410345788,0.397274673,0.099346117,0.247878718
WBGene00000512,0.791496047,0.791371769,0.783347649,0.774985239,0.112386136,0.14526009
WBGene00000513,0.502868279,0.494368552,0.492319406,0.481025386,0.100856433,0.210375065
WBGene00000515,0.645072958,0.645203225,0.634556285,0.623475824,0.114272407,0.184445579
WBGene00000516,1.684269949,1.686047156,1.675070438,1.665641532,0.174321935,0.105490592
WBGene00000518,0.450488949,0.448285757,0.440728524,0.430479003,0.092342928,0.213018627
WBGene00000519,0.922919981,0.923284197,0.919134208,0.915301384,0.083201457,0.09108849
WBGene00000521,0.340808229,0.337752812,0.332369152,0.32303847,0.073588258,0.230511094
WBGene00000522,0.869264839,0.873758634,0.854574581,0.83928074,0.157737695,0.187278457
WBGene00000523,0.652151164,0.65520114,0.638233561,0.6232872,0.131059621,0.212608086
WBGene00000526,0.623060687,0.621540865,0.612042599,0.600490442,0.11505731,0.192076785
WBGene00000530,0.363423367,0.361443649,0.357910193,0.352186282,0.062432192,0.177227574
WBGene00000532,0.626367041,0.631278376,0.621699294,0.616884682,0.075464221,0.12355622
WBGene00000533,0.501342549,0.500228881,0.495946833,0.490397394,0.072829714,0.148599176
WBGene00000535,0.96605971,0.960787539,0.945253281,0.923234739,0.196247819,0.212845795
WBGene00000536,0.672301949,0.666781667,0.655902589,0.638646716,0.146111472,0.226459888
WBGene00000537,0.583183735,0.583575117,0.579098989,0.574878952,0.068067344,0.119801383
WBGene00000540,0.538889999,0.538990524,0.530689082,0.522166883,0.092625864,0.177589661
WBGene00000541,0.478701441,0.475507481,0.469238481,0.459172729,0.093186704,0.203852323
WBGene00000550,1.144864781,1.142878064,1.143018152,1.141170407,0.065064975,0.056880012
WBGene00000553,0.821349411,0.822229182,0.812752315,0.803905843,0.117627763,0.146537457
WBGene00000554,1.555367856,1.550960925,1.544377393,1.533217036,0.183951815,0.119811977
WBGene00000555,1.139834595,1.135283374,1.099813472,1.055373088,0.291547685,0.276572253
WBGene00000557,1.006146392,0.993766043,0.965783988,0.922268765,0.279752674,0.294224524
WBGene00000558,1.531133287,1.514965755,1.492207569,1.449470435,0.336933321,0.233054937
WBGene00000561,0.737199561,0.74047281,0.72090239,0.703316318,0.151141569,0.216534713
WBGene00000564,0.633544888,0.63199637,0.628694764,0.62378327,0.078042032,0.124679949
WBGene00000565,0.839961384,0.843047403,0.836368754,0.832694249,0.076983295,0.093246919
WBGene00000583,0.519410226,0.518854196,0.510894678,0.502032287,0.092772671,0.184435231
WBGene00000585,0.515707914,0.513833669,0.510024794,0.504245582,0.076244807,0.149956965
WBGene00000593,2.254824832,2.250916535,2.248045545,2.241273306,0.17515815,0.077679967
WBGene00000594,3.652642069,3.655459763,3.644181189,3.63567208,0.248240982,0.068271224
WBGene00000596,1.345489039,1.344787966,1.338237375,1.330930223,0.139347752,0.104363338
WBGene00000597,1.737101852,1.728329524,1.728894796,1.720653972,0.168768138,0.097587426
WBGene00000599,3.799887261,3.783574337,3.791749085,3.783691057,0.25023322,0.065386395
WBGene00000601,2.239323463,2.246505704,2.232396833,2.225404919,0.175492491,0.079002542
WBGene00000603,1.550665996,1.550852976,1.543806016,1.536863794,0.145233491,0.094598883
WBGene00000606,1.807989731,1.812984054,1.800847126,1.793643216,0.160320967,0.089294124
WBGene00000608,2.622427082,2.617383277,2.615395505,2.608339048,0.191926697,0.073429726
WBGene00000609,2.626355563,2.62859971,2.618834644,2.611220331,0.197758122,0.076060483
WBGene00000611,2.177956175,2.174112534,2.171433658,2.16488224,0.168359826,0.077635664
WBGene00000615,1.879484046,1.881134258,1.872014833,1.864443271,0.166667831,0.089679186
WBGene00000616,2.793105277,2.793148376,2.786480073,2.77986452,0.192679871,0.06897074
WBGene00000617,3.267766405,3.259579072,3.260516943,3.253291894,0.218360146,0.066656993
WBGene00000618,2.276388072,2.278902483,2.272016085,2.267645341,0.141234206,0.062063897
WBGene00000620,2.879887239,2.868375702,2.873216159,2.866588147,0.196855775,0.068068688
WBGene00000622,1.274861828,1.269719434,1.265246057,1.255405656,0.155231543,0.124049676
WBGene00000626,1.471232601,1.474180857,1.46358773,1.4558406,0.149260549,0.10260106
WBGene00000631,0.794865509,0.792210638,0.781318831,0.76715845,0.144218347,0.188375179
WBGene00000634,0.68734944,0.69209846,0.673947455,0.659299608,0.131707913,0.203593275
WBGene00000639,1.517323393,1.518046852,1.511310986,1.505233947,0.134595178,0.08947829
WBGene00000644,0.827088689,0.823215127,0.815471229,0.803376767,0.136563922,0.170546883
WBGene00000647,1.933845684,1.936827793,1.928819972,1.923756784,0.139060388,0.072358817
WBGene00000648,1.514079965,1.507322267,1.4991084,1.484048117,0.212874644,0.141614063
WBGene00000649,2.992447407,2.981244064,2.984838996,2.977220624,0.213484382,0.071460164
WBGene00000650,2.000904952,1.998811191,1.994122528,1.987282101,0.164295656,0.0826909
WBGene00000653,2.476906,2.471977038,2.470094651,2.463265526,0.18373426,0.074344308
WBGene00000656,2.993499265,2.994663827,2.986775226,2.980054292,0.200931733,0.067125186
WBGene00000657,2.810565634,2.80653371,2.803208037,2.795828163,0.203230475,0.072547786
WBGene00000659,2.561086232,2.554088566,2.55484709,2.54859275,0.178736717,0.069964777
WBGene00000660,2.661402997,2.661364716,2.654740776,2.64806735,0.188348707,0.070912022
WBGene00000663,2.730293677,2.740715774,2.723732794,2.717119424,0.188706632,0.06958352
WBGene00000664,1.012186084,1.008488196,1.001155502,0.989890491,0.148396627,0.149290934
WBGene00000665,1.624707213,1.623842035,1.617591429,1.61041078,0.151560303,0.094062933
WBGene00000666,1.905838055,1.895935112,1.897950019,1.89008259,0.173882648,0.091157538
WBGene00000667,3.516561979,3.513359061,3.508217305,3.499873019,0.242513151,0.069007179
WBGene00000668,3.571995274,3.572793159,3.564116107,3.556231548,0.237359729,0.066540938
WBGene00000669,3.550427161,3.540910455,3.542765734,3.535114118,0.233644388,0.065776933
WBGene00000670,2.643932534,2.64047135,2.637583356,2.631224249,0.183255676,0.069449719
WBGene00000672,2.18894848,2.185317891,2.181908261,2.174843635,0.175478074,0.080442633
WBGene00000673,2.738148977,2.72948323,2.731076582,2.724007949,0.197060683,0.071994318
WBGene00000675,2.093923729,2.095258412,2.087313793,2.080675515,0.166245021,0.079707203
WBGene00000677,2.59255308,2.582607729,2.58643906,2.58031055,0.178068712,0.068831199
WBGene00000678,2.061596128,2.061674667,2.053886853,2.046084724,0.177461118,0.086947167
WBGene00000680,1.830624438,1.824549422,1.823932225,1.81718587,0.156097112,0.085880764
WBGene00000683,2.009392889,2.00957375,2.0030107,1.996594447,0.159901359,0.079977293
WBGene00000684,1.019166278,1.025192331,1.009582971,0.999576848,0.137395753,0.139295578
WBGene00000685,1.584532718,1.588041814,1.573124152,1.561495371,0.188755975,0.121072029
WBGene00000687,0.990749634,0.99082835,0.982190102,0.973432059,0.12913056,0.132836456
WBGene00000690,0.252359708,0.248860358,0.24040498,0.22773168,0.076930673,0.319739241
WBGene00000691,3.642915216,3.634163137,3.634903135,3.626871839,0.241600698,0.066467475
WBGene00000692,1.002175801,0.997151387,0.992165689,0.981897926,0.140270591,0.143023485
WBGene00000693,2.734334006,2.734168997,2.72670221,2.719074471,0.204591698,0.074846248
WBGene00000694,0.679060285,0.682166165,0.666418809,0.65313676,0.128840699,0.197186761
WBGene00000696,2.824810904,2.823159647,2.817776487,2.810730426,0.199370695,0.07072731
WBGene00000698,2.80331811,2.794778594,2.796235058,2.789178028,0.199910874,0.071144448
WBGene00000699,3.573927127,3.566355494,3.566341695,3.558735166,0.232780424,0.065299323
WBGene00000702,0.507370221,0.507782883,0.497007517,0.486045427,0.10036942,0.207160505
WBGene00000704,2.716370265,2.716204429,2.709401384,2.702416376,0.194565978,0.071801099
WBGene00000711,3.005480717,2.99528982,2.998352637,2.991210393,0.207076525,0.069019361
WBGene00000712,2.536096668,2.534820489,2.529645323,2.52319954,0.181199724,0.071437658
WBGene00000715,2.673117884,2.668744094,2.666467363,2.659794905,0.188478315,0.070719767
WBGene00000716,2.586406661,2.585356117,2.580224371,2.574036672,0.178945594,0.069274548
WBGene00000717,3.805167936,3.797460153,3.797573483,3.789973286,0.240555473,0.06328641
WBGene00000719,2.547693982,2.541035726,2.54089478,2.534059244,0.185887034,0.073287709
WBGene00000720,2.605180799,2.599793029,2.597661062,2.590114164,0.197846619,0.076194959
WBGene00000722,1.618696111,1.617498159,1.611410782,1.604053289,0.153071591,0.095371598
WBGene00000723,0.92792809,0.924766381,0.916523336,0.904751716,0.143835245,0.159059355
WBGene00000727,2.509918403,2.512027014,2.502715606,2.495448887,0.189634596,0.07606753
WBGene00000729,1.840967808,1.839039293,1.83355772,1.826091443,0.164776859,0.090121399
WBGene00000731,2.002049242,2.001977471,1.995800325,1.989495055,0.157701589,0.079348329
WBGene00000733,3.114526651,3.110405717,3.107665744,3.100841779,0.207476687,0.066394117
WBGene00000734,1.899500883,1.901591279,1.89174876,1.883930403,0.171142232,0.090767771
WBGene00000738,2.327887294,2.324809134,2.322149226,2.316376665,0.163181383,0.070437106
WBGene00000740,3.442359322,3.439285347,3.434899628,3.427448772,0.226967373,0.065919721
WBGene00000741,3.379903712,3.380921729,3.371585118,3.363249352,0.237137197,0.070318389
WBGene00000742,3.164004157,3.16020686,3.156900915,3.149785508,0.211996939,0.067148454
WBGene00000747,0.951094037,0.955268699,0.940985596,0.9306461,0.137531135,0.147483012
WBGene00000748,1.842858515,1.837246721,1.835445012,1.82794916,0.164714843,0.090164422
WBGene00000749,2.930619246,2.919791466,2.924089248,2.917563729,0.195889813,0.066853663
WBGene00000750,0.362373773,0.359068992,0.349681052,0.335763768,0.093007278,0.275420897
WBGene00000751,2.243489961,2.240299846,2.236600257,2.229700648,0.175956659,0.078555939
WBGene00000752,1.967084517,1.964701025,1.960172529,1.953145099,0.163782265,0.08436756
WBGene00000754,2.59215421,2.582500306,2.584959282,2.577744968,0.193089217,0.074699327
WBGene00000757,2.224791286,2.218980909,2.217750018,2.210679059,0.176912745,0.079806161
WBGene00000761,0.390120954,0.387524928,0.378984835,0.367514291,0.092488434,0.244355968
WBGene00000763,0.946209789,0.946575399,0.936958597,0.927347038,0.130408495,0.141894988
WBGene00000765,0.727169034,0.727048993,0.715100178,0.702497409,0.130380109,0.185774679
